-999-01-01, 00:00:00 UTC = -225-03-25, 17:00:08 ÄÜC
-941-01-01, 00:00:00 UTC = -172-01-25, 42:20:16 ÄÜC
-940-01-01, 00:00:00 UTC = -171-00-43, 20:04:09 ÄÜC
-939-01-01, 00:00:00 UTC = -170-00-12, 39:28:19 ÄÜC
-938-01-01, 00:00:00 UTC = -170-06-30, 17:12:12 ÄÜC
-937-01-01, 00:00:00 UTC = -169-05-47, 43:45:04 ÄÜC
-936-01-01, 00:00:00 UTC = -168-05-16, 21:28:46 ÄÜC
-935-01-01, 00:00:00 UTC = -167-04-34, 41:04:07 ÄÜC
-934-01-01, 00:00:00 UTC = -166-04-03, 18:36:48 ÄÜC
-933-01-01, 00:00:00 UTC = -165-03-20, 45:20:41 ÄÜC
-932-01-01, 00:00:00 UTC = -164-02-38, 23:04:33 ÄÜC
-931-01-01, 00:00:00 UTC = -163-02-07, 42:28:44 ÄÜC
-930-01-01, 00:00:00 UTC = -162-01-25, 20:12:36 ÄÜC
-929-01-01, 00:00:00 UTC = -161-00-42, 46:45:28 ÄÜC
-928-01-01, 00:00:00 UTC = -160-00-11, 24:29:21 ÄÜC
-927-01-01, 00:00:00 UTC = -160-06-29, 44:04:31 ÄÜC
-926-01-01, 00:00:00 UTC = -159-05-47, 21:37:24 ÄÜC
-925-01-01, 00:00:00 UTC = -158-05-15, 48:21:16 ÄÜC
-924-01-01, 00:00:00 UTC = -157-04-33, 26:05:09 ÄÜC
-923-01-01, 00:00:00 UTC = -156-04-02, 45:29:19 ÄÜC
-922-01-01, 00:00:00 UTC = -155-03-20, 23:13:11 ÄÜC
-921-01-01, 00:00:00 UTC = -154-02-38, 00:46:04 ÄÜC
-920-01-01, 00:00:00 UTC = -153-02-06, 27:29:45 ÄÜC
-919-01-01, 00:00:00 UTC = -152-01-24, 47:05:07 ÄÜC
-918-01-01, 00:00:00 UTC = -151-00-42, 24:37:48 ÄÜC
-917-01-01, 00:00:00 UTC = -150-00-11, 02:21:40 ÄÜC
-916-01-01, 00:00:00 UTC = -150-06-28, 29:05:33 ÄÜC
-915-01-01, 00:00:00 UTC = -149-05-46, 48:29:43 ÄÜC
-914-01-01, 00:00:00 UTC = -148-05-15, 26:13:36 ÄÜC
-913-01-01, 00:00:00 UTC = -147-04-33, 03:46:28 ÄÜC
-912-01-01, 00:00:00 UTC = -146-04-01, 30:30:21 ÄÜC
-911-01-01, 00:00:00 UTC = -145-03-20, 01:05:31 ÄÜC
-910-01-01, 00:00:00 UTC = -144-02-37, 27:38:23 ÄÜC
-909-01-01, 00:00:00 UTC = -143-02-06, 05:22:16 ÄÜC
-908-01-01, 00:00:00 UTC = -142-01-23, 32:06:08 ÄÜC
-907-01-01, 00:00:00 UTC = -141-00-42, 02:30:19 ÄÜC
-906-01-01, 00:00:00 UTC = -140-00-10, 29:14:11 ÄÜC
-905-01-01, 00:00:00 UTC = -140-06-28, 06:47:03 ÄÜC
-904-01-01, 00:00:00 UTC = -139-05-45, 33:30:45 ÄÜC
-903-01-01, 00:00:00 UTC = -138-05-15, 04:06:06 ÄÜC
-902-01-01, 00:00:00 UTC = -137-04-32, 30:38:48 ÄÜC
-901-01-01, 00:00:00 UTC = -136-04-01, 08:22:40 ÄÜC
-900-01-01, 00:00:00 UTC = -135-03-18, 35:06:33 ÄÜC
-899-01-01, 00:00:00 UTC = -134-02-36, 12:39:25 ÄÜC
-898-01-01, 00:00:00 UTC = -133-02-04, 39:23:18 ÄÜC
-897-01-01, 00:00:00 UTC = -132-01-22, 17:07:10 ÄÜC
-896-01-01, 00:00:00 UTC = -131-00-39, 43:40:02 ÄÜC
-895-01-01, 00:00:00 UTC = -130-00-09, 14:15:13 ÄÜC
-894-01-01, 00:00:00 UTC = -130-06-26, 40:48:05 ÄÜC
-893-01-01, 00:00:00 UTC = -129-05-44, 18:31:47 ÄÜC
-892-01-01, 00:00:00 UTC = -128-05-12, 45:15:39 ÄÜC
-891-01-01, 00:00:00 UTC = -127-04-31, 15:40:00 ÄÜC
-890-01-01, 00:00:00 UTC = -126-03-48, 42:23:42 ÄÜC
-889-01-01, 00:00:00 UTC = -125-03-17, 20:07:34 ÄÜC
-888-01-01, 00:00:00 UTC = -124-02-34, 46:40:27 ÄÜC
-887-01-01, 00:00:00 UTC = -123-02-04, 17:15:37 ÄÜC
-886-01-01, 00:00:00 UTC = -122-01-21, 43:48:30 ÄÜC
-885-01-01, 00:00:00 UTC = -121-00-39, 21:32:22 ÄÜC
-884-01-01, 00:00:00 UTC = -120-00-07, 48:16:14 ÄÜC
-883-01-01, 00:00:00 UTC = -120-06-26, 18:40:25 ÄÜC
-882-01-01, 00:00:00 UTC = -119-05-43, 45:24:17 ÄÜC
-881-01-01, 00:00:00 UTC = -118-05-12, 23:08:10 ÄÜC
-880-01-01, 00:00:00 UTC = -117-04-30, 00:41:02 ÄÜC
-879-01-01, 00:00:00 UTC = -116-03-48, 20:16:12 ÄÜC
-878-01-01, 00:00:00 UTC = -115-03-16, 47:00:05 ÄÜC
-877-01-01, 00:00:00 UTC = -114-02-34, 24:32:46 ÄÜC
-876-01-01, 00:00:00 UTC = -113-02-03, 02:16:39 ÄÜC
-875-01-01, 00:00:00 UTC = -112-01-21, 21:41:00 ÄÜC
-874-01-01, 00:00:00 UTC = -111-00-38, 48:24:42 ÄÜC
-873-01-01, 00:00:00 UTC = -110-00-07, 26:08:34 ÄÜC
-872-01-01, 00:00:00 UTC = -110-06-25, 03:41:26 ÄÜC
-871-01-01, 00:00:00 UTC = -109-05-43, 23:16:37 ÄÜC
-870-01-01, 00:00:00 UTC = -108-05-12, 01:00:29 ÄÜC
-869-01-01, 00:00:00 UTC = -107-04-29, 27:33:22 ÄÜC
-868-01-01, 00:00:00 UTC = -106-03-47, 05:17:14 ÄÜC
-867-01-01, 00:00:00 UTC = -105-03-16, 24:41:24 ÄÜC
-866-01-01, 00:00:00 UTC = -104-02-34, 02:25:17 ÄÜC
-865-01-01, 00:00:00 UTC = -103-02-02, 29:09:09 ÄÜC
-864-01-01, 00:00:00 UTC = -102-01-20, 06:42:02 ÄÜC
-863-01-01, 00:00:00 UTC = -101-00-38, 26:17:12 ÄÜC
-862-01-01, 00:00:00 UTC = -100-00-07, 04:01:05 ÄÜC
-861-01-01, 00:00:00 UTC = -100-06-24, 30:33:46 ÄÜC
-860-01-01, 00:00:00 UTC = -099-05-42, 08:17:38 ÄÜC
-859-01-01, 00:00:00 UTC = -098-05-11, 27:42:00 ÄÜC
-858-01-01, 00:00:00 UTC = -097-04-29, 05:25:41 ÄÜC
-857-01-01, 00:00:00 UTC = -096-03-46, 32:09:34 ÄÜC
-856-01-01, 00:00:00 UTC = -095-03-15, 09:42:26 ÄÜC
-855-01-01, 00:00:00 UTC = -094-02-33, 29:17:36 ÄÜC
-854-01-01, 00:00:00 UTC = -093-02-02, 07:01:29 ÄÜC
-853-01-01, 00:00:00 UTC = -092-01-19, 33:34:21 ÄÜC
-852-01-01, 00:00:00 UTC = -091-00-37, 11:18:14 ÄÜC
-851-01-01, 00:00:00 UTC = -090-00-06, 30:42:24 ÄÜC
-850-01-01, 00:00:00 UTC = -090-06-24, 08:26:17 ÄÜC
-849-01-01, 00:00:00 UTC = -089-05-41, 35:10:09 ÄÜC
-848-01-01, 00:00:00 UTC = -088-05-10, 12:43:01 ÄÜC
-847-01-01, 00:00:00 UTC = -087-04-28, 32:18:12 ÄÜC
-846-01-01, 00:00:00 UTC = -086-03-46, 10:02:04 ÄÜC
-845-01-01, 00:00:00 UTC = -085-03-14, 36:34:46 ÄÜC
-844-01-01, 00:00:00 UTC = -084-02-32, 14:18:38 ÄÜC
-843-01-01, 00:00:00 UTC = -083-02-01, 33:42:48 ÄÜC
-842-01-01, 00:00:00 UTC = -082-01-19, 11:26:41 ÄÜC
-841-01-01, 00:00:00 UTC = -081-00-36, 38:10:33 ÄÜC
-840-01-01, 00:00:00 UTC = -080-00-05, 15:43:26 ÄÜC
-839-01-01, 00:00:00 UTC = -080-06-23, 35:18:36 ÄÜC
-838-01-01, 00:00:00 UTC = -079-05-41, 13:02:29 ÄÜC
-837-01-01, 00:00:00 UTC = -078-05-09, 39:35:21 ÄÜC
-836-01-01, 00:00:00 UTC = -077-04-27, 17:19:13 ÄÜC
-835-01-01, 00:00:00 UTC = -076-03-45, 36:43:24 ÄÜC
-834-01-01, 00:00:00 UTC = -075-03-14, 14:27:16 ÄÜC
-833-01-01, 00:00:00 UTC = -074-02-31, 41:11:09 ÄÜC
-832-01-01, 00:00:00 UTC = -073-02-00, 18:44:01 ÄÜC
-831-01-01, 00:00:00 UTC = -072-01-18, 38:19:11 ÄÜC
-830-01-01, 00:00:00 UTC = -071-00-36, 16:03:04 ÄÜC
-829-01-01, 00:00:00 UTC = -070-00-04, 42:35:45 ÄÜC
-828-01-01, 00:00:00 UTC = -070-06-22, 20:19:38 ÄÜC
-827-01-01, 00:00:00 UTC = -069-05-40, 39:43:48 ÄÜC
-826-01-01, 00:00:00 UTC = -068-05-09, 17:27:41 ÄÜC
-825-01-01, 00:00:00 UTC = -067-04-26, 44:11:33 ÄÜC
-824-01-01, 00:00:00 UTC = -066-03-44, 21:44:25 ÄÜC
-823-01-01, 00:00:00 UTC = -065-03-13, 41:19:36 ÄÜC
-822-01-01, 00:00:00 UTC = -064-02-31, 19:03:28 ÄÜC
-821-01-01, 00:00:00 UTC = -063-01-48, 45:36:21 ÄÜC
-820-01-01, 00:00:00 UTC = -062-01-17, 23:20:13 ÄÜC
-819-01-01, 00:00:00 UTC = -061-00-35, 42:44:23 ÄÜC
-818-01-01, 00:00:00 UTC = -060-00-04, 20:28:16 ÄÜC
-817-01-01, 00:00:00 UTC = -060-06-21, 47:12:08 ÄÜC
-816-01-01, 00:00:00 UTC = -059-05-39, 24:45:01 ÄÜC
-815-01-01, 00:00:00 UTC = -058-05-08, 44:20:11 ÄÜC
-814-01-01, 00:00:00 UTC = -057-04-26, 22:04:04 ÄÜC
-813-01-01, 00:00:00 UTC = -056-03-43, 48:36:45 ÄÜC
-812-01-01, 00:00:00 UTC = -055-03-12, 26:20:37 ÄÜC
-811-01-01, 00:00:00 UTC = -054-02-30, 45:44:48 ÄÜC
-810-01-01, 00:00:00 UTC = -053-01-48, 23:28:40 ÄÜC
-809-01-01, 00:00:00 UTC = -052-01-17, 01:12:33 ÄÜC
-808-01-01, 00:00:00 UTC = -051-00-34, 27:45:25 ÄÜC
-807-01-01, 00:00:00 UTC = -050-00-03, 47:20:35 ÄÜC
-806-01-01, 00:00:00 UTC = -050-06-21, 25:04:28 ÄÜC
-805-01-01, 00:00:00 UTC = -049-05-39, 02:37:20 ÄÜC
-804-01-01, 00:00:00 UTC = -048-05-07, 29:21:13 ÄÜC
-803-01-01, 00:00:00 UTC = -047-04-25, 48:45:23 ÄÜC
-802-01-01, 00:00:00 UTC = -046-03-43, 26:29:16 ÄÜC
-801-01-01, 00:00:00 UTC = -045-03-12, 04:13:08 ÄÜC
-800-01-01, 00:00:00 UTC = -044-02-29, 30:46:00 ÄÜC
-799-01-01, 00:00:00 UTC = -043-01-48, 01:21:11 ÄÜC
-798-01-01, 00:00:00 UTC = -042-01-16, 28:05:03 ÄÜC
-797-01-01, 00:00:00 UTC = -041-00-34, 05:37:45 ÄÜC
-796-01-01, 00:00:00 UTC = -040-00-02, 32:21:37 ÄÜC
-795-01-01, 00:00:00 UTC = -040-06-21, 02:45:47 ÄÜC
-794-01-01, 00:00:00 UTC = -039-05-38, 29:29:40 ÄÜC
-793-01-01, 00:00:00 UTC = -038-05-07, 07:13:32 ÄÜC
-792-01-01, 00:00:00 UTC = -037-04-24, 33:46:25 ÄÜC
-791-01-01, 00:00:00 UTC = -036-03-43, 04:21:35 ÄÜC
-790-01-01, 00:00:00 UTC = -035-03-11, 31:05:28 ÄÜC
-789-01-01, 00:00:00 UTC = -034-02-29, 08:38:20 ÄÜC
-788-01-01, 00:00:00 UTC = -033-01-46, 35:22:12 ÄÜC
-787-01-01, 00:00:00 UTC = -032-01-16, 05:46:23 ÄÜC
-786-01-01, 00:00:00 UTC = -031-00-33, 32:30:15 ÄÜC
-785-01-01, 00:00:00 UTC = -030-00-02, 10:14:08 ÄÜC
-784-01-01, 00:00:00 UTC = -030-06-19, 36:47:00 ÄÜC
-783-01-01, 00:00:00 UTC = -029-05-38, 07:22:10 ÄÜC
-782-01-01, 00:00:00 UTC = -028-05-06, 34:06:03 ÄÜC
-781-01-01, 00:00:00 UTC = -027-04-24, 11:38:44 ÄÜC
-780-01-01, 00:00:00 UTC = -026-03-41, 38:22:37 ÄÜC
-779-01-01, 00:00:00 UTC = -025-03-11, 08:46:47 ÄÜC
-778-01-01, 00:00:00 UTC = -024-02-28, 35:30:40 ÄÜC
-777-01-01, 00:00:00 UTC = -023-01-46, 13:14:32 ÄÜC
-776-01-01, 00:00:00 UTC = -022-01-14, 39:47:24 ÄÜC
-775-01-01, 00:00:00 UTC = -021-00-33, 10:22:35 ÄÜC
-774-01-01, 00:00:00 UTC = -020-00-01, 37:06:27 ÄÜC
-773-01-01, 00:00:00 UTC = -020-06-19, 14:39:20 ÄÜC
-772-01-01, 00:00:00 UTC = -019-05-36, 41:23:12 ÄÜC
-771-01-01, 00:00:00 UTC = -018-05-06, 11:47:22 ÄÜC
-770-01-01, 00:00:00 UTC = -017-04-23, 38:31:15 ÄÜC
-769-01-01, 00:00:00 UTC = -016-03-41, 16:15:07 ÄÜC
-768-01-01, 00:00:00 UTC = -015-03-09, 42:48:00 ÄÜC
-767-01-01, 00:00:00 UTC = -014-02-28, 13:23:10 ÄÜC
-766-01-01, 00:00:00 UTC = -013-01-45, 40:07:03 ÄÜC
-765-01-01, 00:00:00 UTC = -012-01-14, 17:39:44 ÄÜC
-764-01-01, 00:00:00 UTC = -011-00-31, 44:23:36 ÄÜC
-763-01-01, 00:00:00 UTC = -010-00-01, 14:47:47 ÄÜC
-762-01-01, 00:00:00 UTC = -010-06-18, 41:31:39 ÄÜC
-761-01-01, 00:00:00 UTC = -009-05-36, 19:15:32 ÄÜC
-760-01-01, 00:00:00 UTC = -008-05-04, 45:48:24 ÄÜC
-759-01-01, 00:00:00 UTC = -007-04-23, 16:23:34 ÄÜC
-758-01-01, 00:00:00 UTC = -006-03-40, 43:07:27 ÄÜC
-757-01-01, 00:00:00 UTC = -005-03-09, 20:40:19 ÄÜC
-756-01-01, 00:00:00 UTC = -004-02-26, 47:24:12 ÄÜC
-755-01-01, 00:00:00 UTC = -003-01-45, 17:48:22 ÄÜC
-754-01-01, 00:00:00 UTC = -002-01-13, 44:32:15 ÄÜC
-753-01-01, 00:00:00 UTC = -001-00-31, 22:16:07 ÄÜC
-752-01-01, 00:00:00 UTC = 0000-00-00, 00:00:00 ÄÜC
-751-01-01, 00:00:00 UTC = 0000-06-18, 19:24:10 ÄÜC
-750-01-01, 00:00:00 UTC = 0001-05-35, 46:08:02 ÄÜC
-749-01-01, 00:00:00 UTC = 0002-05-04, 23:40:44 ÄÜC
-748-01-01, 00:00:00 UTC = 0003-04-22, 01:24:36 ÄÜC
-747-01-01, 00:00:00 UTC = 0004-03-40, 20:48:46 ÄÜC
-746-01-01, 00:00:00 UTC = 0005-03-08, 47:32:39 ÄÜC
-745-01-01, 00:00:00 UTC = 0006-02-26, 25:16:31 ÄÜC
-744-01-01, 00:00:00 UTC = 0007-01-44, 03:00:24 ÄÜC
-743-01-01, 00:00:00 UTC = 0008-01-13, 22:24:34 ÄÜC
-742-01-01, 00:00:00 UTC = 0009-00-31, 00:08:27 ÄÜC
-741-01-01, 00:00:00 UTC = 0009-06-48, 26:41:19 ÄÜC
-740-01-01, 00:00:00 UTC = 0010-06-17, 04:25:12 ÄÜC
-739-01-01, 00:00:00 UTC = 0011-05-35, 24:00:22 ÄÜC
-738-01-01, 00:00:00 UTC = 0012-05-04, 01:33:14 ÄÜC
-737-01-01, 00:00:00 UTC = 0013-04-21, 28:17:07 ÄÜC
-736-01-01, 00:00:00 UTC = 0014-03-39, 06:00:48 ÄÜC
-735-01-01, 00:00:00 UTC = 0015-03-08, 25:25:09 ÄÜC
-734-01-01, 00:00:00 UTC = 0016-02-26, 03:09:02 ÄÜC
-733-01-01, 00:00:00 UTC = 0017-01-43, 29:41:43 ÄÜC
-732-01-01, 00:00:00 UTC = 0018-01-12, 07:25:36 ÄÜC
-731-01-01, 00:00:00 UTC = 0019-00-30, 27:00:46 ÄÜC
-730-01-01, 00:00:00 UTC = 0019-06-48, 04:33:39 ÄÜC
-729-01-01, 00:00:00 UTC = 0020-06-16, 31:17:31 ÄÜC
-728-01-01, 00:00:00 UTC = 0021-05-34, 09:01:24 ÄÜC
-727-01-01, 00:00:00 UTC = 0022-05-03, 28:25:34 ÄÜC
-726-01-01, 00:00:00 UTC = 0023-04-21, 06:09:26 ÄÜC
-725-01-01, 00:00:00 UTC = 0024-03-38, 32:42:19 ÄÜC
-724-01-01, 00:00:00 UTC = 0025-03-07, 10:26:11 ÄÜC
-723-01-01, 00:00:00 UTC = 0026-02-25, 30:01:21 ÄÜC
-722-01-01, 00:00:00 UTC = 0027-01-43, 07:34:14 ÄÜC
-721-01-01, 00:00:00 UTC = 0028-01-11, 34:18:06 ÄÜC
-720-01-01, 00:00:00 UTC = 0029-00-29, 12:01:48 ÄÜC
-719-01-01, 00:00:00 UTC = 0029-06-47, 31:26:09 ÄÜC
-718-01-01, 00:00:00 UTC = 0030-06-16, 09:10:02 ÄÜC
-717-01-01, 00:00:00 UTC = 0031-05-33, 35:42:43 ÄÜC
-716-01-01, 00:00:00 UTC = 0032-05-02, 13:26:36 ÄÜC
-715-01-01, 00:00:00 UTC = 0033-04-20, 33:01:46 ÄÜC
-714-01-01, 00:00:00 UTC = 0034-03-38, 10:34:38 ÄÜC
-713-01-01, 00:00:00 UTC = 0035-03-06, 37:18:31 ÄÜC
-712-01-01, 00:00:00 UTC = 0036-02-24, 15:02:23 ÄÜC
-711-01-01, 00:00:00 UTC = 0037-01-42, 34:26:33 ÄÜC
-710-01-01, 00:00:00 UTC = 0038-01-11, 12:10:26 ÄÜC
-709-01-01, 00:00:00 UTC = 0039-00-28, 38:43:18 ÄÜC
-708-01-01, 00:00:00 UTC = 0039-06-46, 16:27:11 ÄÜC
-707-01-01, 00:00:00 UTC = 0040-06-15, 36:02:21 ÄÜC
-706-01-01, 00:00:00 UTC = 0041-05-33, 13:35:14 ÄÜC
-705-01-01, 00:00:00 UTC = 0042-05-01, 40:19:06 ÄÜC
-704-01-01, 00:00:00 UTC = 0043-04-19, 18:02:48 ÄÜC
-703-01-01, 00:00:00 UTC = 0044-03-37, 37:27:09 ÄÜC
-702-01-01, 00:00:00 UTC = 0045-03-06, 15:11:01 ÄÜC
-701-01-01, 00:00:00 UTC = 0046-02-23, 41:43:43 ÄÜC
-700-01-01, 00:00:00 UTC = 0047-01-41, 19:27:35 ÄÜC
-699-01-01, 00:00:00 UTC = 0048-01-09, 46:11:28 ÄÜC
-698-01-01, 00:00:00 UTC = 0049-00-27, 23:44:20 ÄÜC
-697-01-01, 00:00:00 UTC = 0049-06-45, 01:28:13 ÄÜC
-696-01-01, 00:00:00 UTC = 0050-06-13, 28:12:05 ÄÜC
-695-01-01, 00:00:00 UTC = 0051-05-31, 47:36:15 ÄÜC
-694-01-01, 00:00:00 UTC = 0052-05-00, 25:20:08 ÄÜC
-693-01-01, 00:00:00 UTC = 0053-04-18, 03:04:00 ÄÜC
-692-01-01, 00:00:00 UTC = 0054-03-35, 29:36:42 ÄÜC
-691-01-01, 00:00:00 UTC = 0055-03-05, 00:12:03 ÄÜC
-690-01-01, 00:00:00 UTC = 0056-02-22, 26:44:44 ÄÜC
-689-01-01, 00:00:00 UTC = 0057-01-40, 04:28:37 ÄÜC
-688-01-01, 00:00:00 UTC = 0058-01-08, 31:12:29 ÄÜC
-687-01-01, 00:00:00 UTC = 0059-00-27, 01:36:40 ÄÜC
-686-01-01, 00:00:00 UTC = 0059-06-44, 28:20:32 ÄÜC
-685-01-01, 00:00:00 UTC = 0060-06-13, 06:04:25 ÄÜC
-684-01-01, 00:00:00 UTC = 0061-05-30, 32:37:17 ÄÜC
-683-01-01, 00:00:00 UTC = 0062-05-00, 03:12:27 ÄÜC
-682-01-01, 00:00:00 UTC = 0063-04-17, 29:45:20 ÄÜC
-681-01-01, 00:00:00 UTC = 0064-03-35, 07:29:12 ÄÜC
-680-01-01, 00:00:00 UTC = 0065-03-03, 34:13:05 ÄÜC
-679-01-01, 00:00:00 UTC = 0066-02-22, 04:37:15 ÄÜC
-678-01-01, 00:00:00 UTC = 0067-01-39, 31:21:07 ÄÜC
-677-01-01, 00:00:00 UTC = 0068-01-08, 09:05:00 ÄÜC
-676-01-01, 00:00:00 UTC = 0069-00-25, 35:37:41 ÄÜC
-675-01-01, 00:00:00 UTC = 0069-06-44, 06:13:03 ÄÜC
-674-01-01, 00:00:00 UTC = 0070-06-12, 32:45:44 ÄÜC
-673-01-01, 00:00:00 UTC = 0071-05-30, 10:29:37 ÄÜC
-672-01-01, 00:00:00 UTC = 0072-04-47, 37:13:29 ÄÜC
-671-01-01, 00:00:00 UTC = 0073-04-17, 07:37:39 ÄÜC
-670-01-01, 00:00:00 UTC = 0074-03-34, 34:21:32 ÄÜC
-669-01-01, 00:00:00 UTC = 0075-03-03, 12:05:24 ÄÜC
-668-01-01, 00:00:00 UTC = 0076-02-20, 38:38:17 ÄÜC
-667-01-01, 00:00:00 UTC = 0077-01-39, 09:13:27 ÄÜC
-666-01-01, 00:00:00 UTC = 0078-01-07, 35:46:19 ÄÜC
-665-01-01, 00:00:00 UTC = 0079-00-25, 13:30:12 ÄÜC
-664-01-01, 00:00:00 UTC = 0079-06-42, 40:14:04 ÄÜC
-663-01-01, 00:00:00 UTC = 0080-06-12, 10:38:15 ÄÜC
-662-01-01, 00:00:00 UTC = 0081-05-29, 37:22:07 ÄÜC
-661-01-01, 00:00:00 UTC = 0082-04-47, 15:06:00 ÄÜC
-660-01-01, 00:00:00 UTC = 0083-04-15, 41:38:41 ÄÜC
-659-01-01, 00:00:00 UTC = 0084-03-34, 12:14:02 ÄÜC
-658-01-01, 00:00:00 UTC = 0085-03-02, 38:46:44 ÄÜC
-657-01-01, 00:00:00 UTC = 0086-02-20, 16:30:36 ÄÜC
-656-01-01, 00:00:00 UTC = 0087-01-37, 43:14:29 ÄÜC
-655-01-01, 00:00:00 UTC = 0088-01-07, 13:38:39 ÄÜC
-654-01-01, 00:00:00 UTC = 0089-00-24, 40:22:31 ÄÜC
-653-01-01, 00:00:00 UTC = 0089-06-42, 18:06:24 ÄÜC
-652-01-01, 00:00:00 UTC = 0090-06-10, 44:39:16 ÄÜC
-651-01-01, 00:00:00 UTC = 0091-05-29, 15:14:27 ÄÜC
-650-01-01, 00:00:00 UTC = 0092-04-46, 41:47:19 ÄÜC
-649-01-01, 00:00:00 UTC = 0093-04-15, 19:31:12 ÄÜC
-648-01-01, 00:00:00 UTC = 0094-03-32, 46:15:04 ÄÜC
-647-01-01, 00:00:00 UTC = 0095-03-02, 16:39:14 ÄÜC
-646-01-01, 00:00:00 UTC = 0096-02-19, 43:23:07 ÄÜC
-645-01-01, 00:00:00 UTC = 0097-01-37, 21:06:48 ÄÜC
